StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q5,Q4,Q7,Q19,Q19_5_TEXT,Q9,Q9_5_TEXT,Q6,Q18,Q13,Q15,Q11,Q23,Q12,Q14,Q17,Q24,Q8,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q1,Q21,Q31,Q33,Q32,Q37,Q38,Q39,Q34
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"In a few words, please describe what your first significant job was (e.g. job title and responsibilities)","BEFORE YOU ACQUIRED YOUR FIRST SIGNIFICANT JOB, which would you say you belonged in: the lower class, the working class, the middle class, or the upper class?","Looking back over the six months LEADING UP TO WHEN YOU LANDED YOUR FIRST SIGNIFICANT JOB—how many people did you speak with regarding matters important to you?

(Please consider your family, friends, and acquaintances and provide your best estimate in numerical digits)","Did you approach your mother for the following functions in regards to your first significant job search process?

Please check off all that apply. - Selected Choice","Did you approach your mother for the following functions in regards to your first significant job search process?

Please check off all that apply. - Other functions related to my job search (please elaborate) - Text","Did you approach your father for the following functions in regards to your first significant job search process?

Please check off all that apply. - Selected Choice","Did you approach your father for the following functions in regards to your first significant job search process?

Please check off all that apply. - Other functions related to my job search (please elaborate) - Text",Who were other people with whom you discussed your job search experience with?,Was your mother already employed in a position/field similar to your significant first job at the time?,How close were you with your mother at the time?,On average how often did you talk with your mother?,"Which would you say your mother belonged in: the lower class, the working class, the middle class, or the upper class at the time?",What was your mother's highest completed education level at the time?,How close were you with your father at the time?,On average how often did you talk with your father at the time?,Was your father already employed in a position/field similar to your significant first job at the time?,What was your father's highest completed education level at the time?,"Which would you say your father belonged in: the lower class, the working class, the middle class, or the upper class at the time?","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - Sibling(s)","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - Relative(s)","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - Personal friend(s)/acquaintance(s) (that you met independently)","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - Friend(s)/acquaintance(s) first met through parent","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - Friend(s)/acquaintance(s) first met through sibling","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - Friend(s)/acquaintance(s) first met through relative","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - Friend(s)/acquaintance(s) first met through personal friend","Did you approach the following individuals for any of the below functions?

	Information or technical guidance regarding job or job search process
	Direct job referral
	Connection to other individuals - I did not speak with anyone above",How old were you when you acquired your first significant job?,What was your highest completed education level when you acquired your first significant job?,How would you best describe yourself?,How would you best describe yourself?,Are you of Hispanic/Latino/Spanish origin?,"AFTER ACQUIRING YOUR FIRST SIGNIFICANT JOB, which would you say you belonged in: the lower class, the working class, the middle class, or the upper class?","Among your parents and the individuals you listed, who do you attribute most credit to for instrumentally helping you acquire your first significant job? 



Please consider only instrumental or technical aid (such as interview tips, job referral, resume review) and NOT emotional assistance.","Among your parents, who do you attribute most credit to for instrumentally helping you acquire your first significant job? 



Please consider only instrumental or technical aid (such as interview tips, job referral, resume review) and NOT emotional assistance.",What event/time frame did we ask you to consider in order to complete this survey?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID18""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID23""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID24""}","{""ImportId"":""QID8""}","{""ImportId"":""QID29_x1""}","{""ImportId"":""QID29_x2""}","{""ImportId"":""QID29_x3""}","{""ImportId"":""QID29_x4""}","{""ImportId"":""QID29_x5""}","{""ImportId"":""QID29_x6""}","{""ImportId"":""QID29_x7""}","{""ImportId"":""QID29_x8""}","{""ImportId"":""QID1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID32""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID34""}"
2022-04-17 15:56:29,2022-04-17 15:58:25,Survey Preview,,100,115,True,2022-04-17 15:58:27,R_3GCffycph0lS4PD,,,,,41.871,-87.6289,preview,EN,,tester,upper class,1.0,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Friend(s)/acquaintance(s) first met through personal friend,No,Close,Less often,cannot answer,Ph.D. or higher,Less than close,Weekly,No,Bachelor's Degree,working class,,,,,,,Direct job referral,,45-54,Ph.D. or higher,Black or African American,Female,No,,,,
2022-04-17 16:09:13,2022-04-17 16:10:58,Survey Preview,,100,104,True,2022-04-17 16:10:59,R_bI0EBcLaR6rFe1z,,,,,41.871,-87.6289,preview,EN,,tester,working class,4,"I did not approach or discuss with my mother for any of the above functions,Other functions related to my job search (please elaborate)",test,Other functions related to my job search (please elaborate),test,Relative(s),No,Less than close,Monthly,lower class,Master's Degree,Less than close,Weekly,No,High School,middle class,,Connection to other individuals,,,,,,,55-64,Bachelor's Degree,Black or African American,Prefer not to say,No,,,,Current time of my life
2022-04-17 16:43:57,2022-04-17 16:45:19,Survey Preview,,100,82,True,2022-04-17 16:45:21,R_R9Q1yTQRnDeLXnX,,,,,41.871,-87.6289,preview,EN,1,TESTER,working class,1,I did not approach or discuss with my mother for any of the above functions,,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,Friend(s)/acquaintance(s) first met through sibling,No,Less than close,Monthly,working class,Bachelor's Degree,Less than close,Monthly,No,Master's Degree,working class,,,,,Direct job referral,,,,55-64,Master's Degree,Black or African American,Non-binary / third gender,No,lower class,,,No specific event or time frame was requested
2022-04-17 16:50:23,2022-04-17 16:51:21,Survey Preview,,100,57,True,2022-04-17 16:51:22,R_pcTpBMQVKlpvhKx,,,,,41.871,-87.6289,preview,EN,1,tester,middle class,2,Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,Friend(s)/acquaintance(s) first met through parent,cannot answer,Less than close,Daily,working class,Master's Degree,Especially close,Weekly,No,Ph.D. or higher,working class,,,,Connection to other individuals,,,,,45-54,Middle School,Native Hawaiian or Other Pacific Islander,Female,No,working class,,,Event/time of my first significant job search experience
2022-04-17 16:53:08,2022-04-17 16:54:19,Survey Preview,,100,70,True,2022-04-17 16:54:20,R_3iwA133tI0h1XHQ,,,,,41.871,-87.6289,preview,EN,1,tester,middle class,5,I did not approach or discuss with my mother for any of the above functions,,Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job),,Friend(s)/acquaintance(s) first met through parent,No,Less than close,Less often,middle class,Middle School,Less than close,Monthly,No,Master's Degree,middle class,,,,Information or technical guidance regarding job or job search process,,,,,35-44,Middle School,Native Hawaiian or Other Pacific Islander,Non-binary / third gender,Prefer not to say,working class,,,No specific event or time frame was requested
2022-04-18 06:01:25,2022-04-18 06:05:14,IP Address,68.97.19.136,100,229,True,2022-04-18 06:05:15,R_2rqLu3EqOOlh5IB,,,,,35.2144,-97.4536,anonymous,EN,0.800000011920929,I was a stocker for Kohl's. I came into work early in the morning to stock shelves and to unload merchandise from trucks.,lower class,4,Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Personal friend(s)/acquaintance(s) (that you met independently),No,Especially close,Daily,working class,High School,Close,Weekly,Yes,Bachelor's Degree,middle class,,,Connection to other individuals,,,,,,18-24,High School,White,Male,No,working class,Mother,,Event/time of my first significant job search experience
2022-04-18 06:01:45,2022-04-18 06:06:18,IP Address,100.38.229.162,100,273,True,2022-04-18 06:06:18,R_1OqX5rMP7TimmRJ,,,,,40.7597,-73.981,anonymous,EN,1,"I was working as an economist for a government agency, right out of college, responsible for providing economic forecasts for local economy spending and tax revenues.",middle class,4,I did not approach or discuss with my mother for any of the above functions,,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,"Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through personal friend",No,Close,Weekly,middle class,Bachelor's Degree,Close,Weekly,Yes,Bachelor's Degree,middle class,,,Information or technical guidance regarding job or job search process,,,,Information or technical guidance regarding job or job search process,,18-24,Bachelor's Degree,White,Male,No,middle class,Father,,Event/time of my first significant job search experience
2022-04-18 06:04:54,2022-04-18 06:07:58,IP Address,98.10.58.230,100,183,True,2022-04-18 06:07:58,R_3PSnKZxmugsjKBD,,,,,43.0801,-77.6342,anonymous,EN,1,Special education teacher for middle school students with behavioral challenges.,middle class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Personal friend(s)/acquaintance(s) (that you met independently),No,Especially close,Daily,middle class,High School,Close,Daily,No,High School,middle class,,,Information or technical guidance regarding job or job search process,,,,,,18-24,Bachelor's Degree,White,Female,No,middle class,Mother,,Event/time of my first significant job search experience
